relative_path,consumer_evidence,consumers,conditions,flags,evidence_note
items/npcWoodenShield.png,static-extracted,ItemShield|npcWoodenShield|CustomItems.java:465|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcWoodenSpear.png,static-extracted,ItemSpear|npcWoodenSpear|CustomItems.java:489|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcWoodenStaff.png,static-extracted,ItemStaff|npcWoodenStaff|CustomItems.java:570|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcWoodenTrident.png,static-extracted,ItemSpear|npcWoodenTrident|CustomItems.java:396|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcWoodenWarhammer.png,static-extracted,ItemWarhammer|npcWoodenWarhammer|CustomItems.java:522|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcWrench.png,static-extracted,ItemNpcWeaponInterface|npcWrench|CustomItems.java:462|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcX407Boots.png,static-extracted,ItemNpcArmor|npcX407Boots|CustomItems.java:680|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcX407Chest.png,static-extracted,ItemNpcArmor|npcX407Chest|CustomItems.java:678|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcX407Head.png,static-extracted,ItemNpcArmor|npcX407Head|CustomItems.java:677|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcX407Legs.png,static-extracted,ItemNpcArmor|npcX407Legs|CustomItems.java:679|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
